kode_bps,kode_dagri,nama_bps,nama_dagri
3578050,35.78.24,TENGGILIS MEJOYO,TENGGILIS MEJOYO
3578060,35.78.25,GUNUNG ANYAR,GUNUNG ANYAR
3578070,35.78.03,RUNGKUT,RUNGKUT
3578080,35.78.09,SUKOLILO,SUKOLILO
3578090,35.78.26,MULYOREJO,MULYOREJO
3578100,35.78.08,GUBENG,GUBENG
3578110,35.78.04,WONOKROMO,WONOKROMO
3578120,35.78.21,DUKUH PAKIS,DUKUH PAKIS
3578130,35.78.20,WIYUNG,WIYUNG
3578140,35.78.18,LAKARSANTRI,LAKARSANTRI
3578141,35.78.31,SAMBIKEREP,SAMBIKEREP
3578150,35.78.14,TANDES,TANDES
3578170,35.78.06,SAWAHAN,SAWAHAN
3578180,35.78.05,TEGALSARI,TEGALSARI
3578190,35.78.07,GENTENG,GENTENG
3578200,35.78.10,TAMBAKSARI,TAMBAKSARI
3578210,35.78.17,KENJERAN,KENJERAN
3578211,35.78.29,BULAK,BULAK
3578220,35.78.11,SIMOKERTO,SIMOKERTO
3578230,35.78.16,SEMAMPIR,SEMAMPIR
3578240,35.78.12,PABEAN CANTIAN,PABEAN CANTIAN
3578250,35.78.13,BUBUTAN,BUBUTAN
3578260,35.78.15,KREMBANGAN,KREMBANGAN
3578280,35.78.19,BENOWO,BENOWO
3578281,35.78.30,PAKAL,PAKAL
3579010,35.79.01,BATU,BATU
3579020,35.79.03,JUNREJO,JUNREJO
3579030,35.79.02,BUMIAJI,BUMIAJI
3601191,36.01.25,KARANGTANJUNG,KARANG TANJUNG
3601010,36.01.01,SUMUR,SUMUR
3601020,36.01.02,CIMANGGU,CIMANGGU
3601030,36.01.03,CIBALIUNG,CIBALIUNG
3601031,36.01.27,CIBITUNG,CIBITUNG
3601040,36.01.04,CIKEUSIK,CIKEUSIK
3601050,36.01.05,CIGEULIS,CIGEULIS
3601060,36.01.06,PANIMBANG,PANIMBANG
3601061,36.01.35,SOBANG,SOBANG
3601070,36.01.08,MUNJUL,MUNJUL
3601071,36.01.07,ANGSANA,ANGSANA
3601072,36.01.31,SINDANGRESMI,SINDANGRESMI
3601080,36.01.11,PICUNG,PICUNG
3601090,36.01.10,BOJONG,BOJONG
3601100,36.01.14,SAKETI,SAKETI
3601101,36.01.23,CISATA,CISATA
3601110,36.01.09,PAGELARAN,PAGELARAN
3601111,36.01.24,PATIA,PATIA
3601112,36.01.29,SUKARESMI,SUKARESMI
3601120,36.01.12,LABUAN,LABUAN
3601121,36.01.28,CARITA,CARITA
3601130,36.01.16,JIPUT,JIPUT
3601131,36.01.26,CIKEDAL,CIKEDAL
3601140,36.01.13,MENES,MENES
3601141,36.01.32,PULOSARI,PULOSARI
3601150,36.01.17,MANDALAWANGI,MANDALAWANGI
3601160,36.01.18,CIMANUK,CIMANUK
3601161,36.01.15,CIPEUCANG,CIPEUCANG
3601170,36.01.20,BANJAR,BANJAR
3601171,36.01.19,KADUHEJO,KADUHEJO
3601172,36.01.30,MEKARJAYA,MEKARJAYA
3601180,36.01.21,PANDEGLANG,PANDEGLANG
3601181,36.01.34,MAJASARI,MAJASARI
3601190,36.01.22,CADASARI,CADASARI
3601192,36.01.33,KORONCONG,KORONCONG
3602051,36.02.28,CIGEMBLONG,CIGEMLONG
3602080,36.02.08,GUNUNG KENCANA,GUNUNGKENCANA
3602191,36.02.23,CURUGBITUNG,CURUG BITUNG
3602010,36.02.01,MALINGPING,MALINGPING
3602011,36.02.21,WANASALAM,WANASALAM
3602020,36.02.02,PANGGARANGAN,PANGGARANGAN
3602021,36.02.26,CIHARA,CIHARA
3602030,36.02.03,BAYAH,BAYAH
3602031,36.02.20,CILOGRANG,CILOGRANG
3602040,36.02.19,CIBEBER,CIBEBER
3602050,36.02.16,CIJAKU,CIJAKU
3602060,36.02.09,BANJARSARI,BANJARSARI
3602070,36.02.10,CILELES,CILELES
3602090,36.02.07,BOJONGMANIK,BOJONGMANIK
3602091,36.02.27,CIRINTEN,CIRINTEN
3602100,36.02.06,LEUWIDAMAR,LEUWIDAMAR
3602110,36.02.05,MUNCANG,MUNCANG
3602111,36.02.22,SOBANG,SOBANG
3602120,36.02.04,CIPANAS,CIPANAS
3602121,36.02.25,LEBAKGEDONG,LEBAKGEDONG
3602130,36.02.12,SAJIRA,SAJIRA
3602140,36.02.11,CIMARGA,CIMARGA
3602150,36.02.17,CIKULUR,CIKULUR
3602160,36.02.15,WARUNGGUNUNG,WARUNGGUNUNG
3602170,36.02.18,CIBADAK,CIBADAK
3602180,36.02.14,RANGKASBITUNG,RANGKASBITUNG
3602181,36.02.24,KALANGANYAR,KALANGANYAR
3602190,36.02.13,MAJA,MAJA
3603120,36.03.12,PASARKEMIS,PASAR KEMIS
3603010,36.03.05,CISOKA,CISOKA
3603011,36.03.31,SOLEAR,SOLEAR
3603020,36.03.03,TIGARAKSA,TIGARAKSA
3603021,36.03.04,JAMBE,JAMBE
3603030,36.03.18,CIKUPA,CIKUPA
3603040,36.03.19,PANONGAN,PANONGAN
3603050,36.03.17,CURUG,CURUG
3603051,36.03.28,KELAPA DUA,KELAPA DUA
3603060,36.03.20,LEGOK,LEGOK
